,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
0,2031300100,2013245,1,,,2021,BOSTON,ROAD,10460,2021 BOSTON ROAD
1,2031300100,2013245,1,,EAST,1012,178,STREET,10460,1012 EAST 178 STREET
2,2031300100,2013245,1,,EAST,1030,178,STREET,10460,1030 EAST 178 STREET
3,2031300100,2013245,1,M,EAST,1010,178,STREET,10460,1010 EAST 178 STREET
4,3035320030,3081191,1,,,114,TAPSCOTT,STREET,11212,114 TAPSCOTT STREET
5,3035320030,3081191,1,M,,104,TAPSCOTT,STREET,11212,104 TAPSCOTT STREET
6,1016830018,1052877,1,M,EAST,335,111,STREET,10029,335 EAST 111 STREET
7,1009330025,1020611,1,,EAST,344,28,STREET,10016,344 EAST 28 STREET
8,1009330025,1020611,1,,EAST,342,28,STREET,10016,342 EAST 28 STREET
9,1009330025,1020611,1,,EAST,346,28,STREET,10016,346 EAST 28 STREET
10,1009330025,1020611,1,,EAST,340,28,STREET,10016,340 EAST 28 STREET
11,3004010001,3006388,1,M,,572,WARREN,STREET,11217,572 WARREN STREET
12,3004010001,3006388,1,,,568,WARREN,STREET,11217,568 WARREN STREET
13,3004010001,3006388,1,,,565,BALTIC,STREET,11217,565 BALTIC STREET
14,3004010001,3006388,1,M,,574,WARREN,STREET,11217,574 WARREN STREET
15,3017940181,3000000,1,,,513,GREENE,AVENUE,11216,513 GREENE AVENUE
16,3017940120,3050204,1,M,,362,CLIFTON,PLACE,11216,362 CLIFTON PLACE
17,3017940119,3050203,1,M,,360,CLIFTON,PLACE,11216,360 CLIFTON PLACE
18,3017940118,3050202,1,M,,358,CLIFTON,PLACE,11216,358 CLIFTON PLACE
19,3017940117,3050201,1,M,,356,CLIFTON,PLACE,11216,356 CLIFTON PLACE
20,3017940116,3050200,1,M,,354,CLIFTON,PLACE,11216,354 CLIFTON PLACE
21,3017940115,3050199,1,M,,352,CLIFTON,PLACE,11216,352 CLIFTON PLACE
22,3017940114,3050198,1,M,,350,CLIFTON,PLACE,11216,350 CLIFTON PLACE
23,3017940113,3050197,1,M,,348,CLIFTON,PLACE,11216,348 CLIFTON PLACE
24,3017940112,3050196,1,M,,346,CLIFTON,PLACE,11216,346 CLIFTON PLACE
25,3017940011,3050169,1,M,,344,CLIFTON,PLACE,11216,344 CLIFTON PLACE
26,3018020051,3350437,10,M,,360,NOSTRAND,AVENUE,11216,360 NOSTRAND AVENUE
27,3018020051,3050588,11,,,260,LEXINGTON,AVENUE,11216,260 LEXINGTON AVENUE
28,3018020051,3050588,11,,,262,LEXINGTON,AVENUE,11216,262 LEXINGTON AVENUE
29,3018020051,3050588,11,,,264,LEXINGTON,AVENUE,11216,264 LEXINGTON AVENUE
