building_name,borough,total_units,tds,transferred_date,page_number,bbl,bldg,address,zip_code,cd_,fc_,ss_,sa_,cc_,bin,m,3018020043,12,250_lexington_avenue,11216,3,08,25,57,36,3050586,3018040010,390_lexington_avenue,56,3322214,3021450001,45_south_10th_street,11249,1,07,18,50,34,3000000,2022690100,8,401_saint_anns_avenue,10454,14,29,84,2090993,2022870135,490_east_143rd_street,15,2000433,1021070059,1949_amsterdam_avenue,10032,13,31,71,10,1062490,3043770001,17,884_ashford_street,11207,5,19,60,42,3324274,3033410001,32,1260_gates_avenue,11221,4,54,37,3326137,3033340001,365_wilson_avenue,53,3338493,2049050001,33,1141_226th_drive,10466,16,83,2094164,1020160060,6,2651_a_c_powell_boulevard,10039,30,09,1084139,3033150001,2,140_menahan_street,3394310,3014710061,1747_saint_johns_place,11233,55,41,3014700160,1679_saint_johns_place,3392746,3014700015,1720a_sterling_place,3348327,3014710014,1790b_sterling_place,3393524,3014390010,2020_pacific_street,3038674,1020150005,164_west_147th_street,1079768,2026800001,1113_prospect_avenue,10459,79,2091984,3013410001,1605_dean_street,11213,20,3324581,3021400026,195_division_avenue,11211,3251681,3030260001,161_scholes_street,11206,3344974,3030240001,112_maujer_street,3327882,3030250046,247_graham_avenue,3327884
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,6,,,,09,,,,,,,,11233,55,41,,,,3014700022,1734B STERLING PLACE,3392455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,6,,,,09,,,,,,,,11233,55,41,,,,3014700023,1736 STERLING PLACE,3392466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,6,,,,09,,,,,,,,11233,55,41,,,,3014700023,1736A STERLING PLACE,3392466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,6,,,,09,,,,,,,,11233,55,41,,,,3014700023,1736B STERLING PLACE,3392466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710011,497 HOWARD AVENUE,3392621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710011,497A HOWARD AVENUE,3392621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710011,497B HOWARD AVENUE,3392621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710011,499 HOWARD AVENUE,3392621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710011,499A HOWARD AVENUE,3392621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710011,499B HOWARD AVENUE,3392621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710010,501 HOWARD AVENUE,3392551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710010,501A HOWARD AVENUE,3392551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710010,501B HOWARD AVENUE,3392551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710009,503 HOWARD AVENUE,3393522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710009,503A HOWARD AVENUE,3393522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710009,503B HOWARD AVENUE,3393522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710008,505 HOWARD AVENUE,3393520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710008,505A HOWARD AVENUE,3393520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710008,505B HOWARD AVENUE,3393520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710007,507 HOWARD AVENUE,3393519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710007,507A HOWARD AVENUE,3393519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710007,507B HOWARD AVENUE,3393519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710006,509 HOWARD AVENUE,3393518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710006,509A HOWARD AVENUE,3393518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710006,509B HOWARD AVENUE,3393518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710005,511 HOWARD AVENUE,3039448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710005,511A HOWARD AVENUE,3039448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710001,1737 SAINT JOHNS PLACE,3348346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710005,511B HOWARD AVENUE,3039448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710001,515 HOWARD AVENUE,3348346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710004,513 HOWARD AVENUE,3039447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,7,,,,09,,,,,,,,11233,55,41,,,,3014710001,1745 SAINT JOHNS PLACE,3348346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,8,,,,09,,,,,,,,11233,55,41,,,,3014710014,1790 STERLING PLACE,3393524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,,,,,19,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,8,,,,09,,,,,,,,11233,55,41,,,,3014710014,1790A STERLING PLACE,3393524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710015,1792 STERLING PLACE,3393525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710015,1792A STERLING PLACE,3393525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710015,1792B STERLING PLACE,3393525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710016,1794 STERLING PLACE,3039449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710016,1794A STERLING PLACE,3039449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710016,1794B STERLING PLACE,3039449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710017,1796 STERLING PLACE,3393526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710017,1796A STERLING PLACE,3393526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710017,1796B STERLING PLACE,3393526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710017,1798 STERLING PLACE,3039450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710017,1798A STERLING PLACE,3039450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710017,1798B STERLING PLACE,3039450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710018,1800 STERLING PLACE,3039451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710018,1800A STERLING PLACE,3039451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710018,1800B STERLING PLACE,3039451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710019,1802 STERLING PLACE,3039452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710019,1802A STERLING PLACE,3039452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710019,1802B STERLING PLACE,3039452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710020,1804 STERLING PLACE,3406675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710020,1804A STERLING PLACE,3406675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,M,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710020,1804B STERLING PLACE,3406675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710023,1812 STERLING PLACE,3406675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710021,1806 STERLING PLACE,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710022,1810 STERLING PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,09,,,,,,,,11233,55,41,,,,,,,3014710024,1814 STERLING PLACE,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,3021720001,1,85 TAYLOR STREET,11249,1,07,18,50,34,3334990,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,3021720001,1,83 TAYLOR STREET,11249,1,07,18,50,34,3334990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,3021720001,2,128 CLYMER STREET,11249,1,07,18,50,34,3334991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,3021720001,2,130 CLYMER STREET,11249,1,07,18,50,34,3334991,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACT DEVELOPMENTS DIRECTORY as of 01/01/2025,BROOKLYN,744,140,2/12/2020,20,3021720001,3,140 CLYMER STREET,11249,1,07,18,50,34,3334989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
